standard,nUsers,trafficType,packetSize,flowId,throughputMbps,avgDelayMs,txPackets,rxPackets,lostPackets
ax,1,high,1500,1,50.9106,0.133519,41667,41648,19
ac,1,high,1500,1,50.9107,0.116889,41667,41647,20
ax,2,high,1500,1,50.9246,0.558297,41667,41658,9
ax,2,high,1500,2,50.9111,0.538231,41667,41648,19
ac,2,high,1500,1,50.9254,0.514586,41667,41655,12
ac,2,high,1500,2,50.9111,0.49713,41667,41646,21
ax,4,high,1500,1,50.8869,9.11246,41667,41609,58
ax,4,high,1500,2,50.6167,10.0526,41667,41398,269
ax,4,high,1500,3,50.9215,8.49625,41667,41657,10
ax,4,high,1500,4,50.9121,8.20238,41667,41598,69
ac,4,high,1500,1,50.8835,10.0598,41667,41611,56
ac,4,high,1500,2,50.8593,8.16355,41667,41606,61
ac,4,high,1500,3,50.925,10.4021,41667,41647,20
ac,4,high,1500,4,50.8748,6.44386,41667,41489,178
ax,8,high,1500,1,35.6491,964.946,41667,27794,13873
ax,8,high,1500,2,37.6158,927.152,41667,30746,10921
ax,8,high,1500,3,31.8925,1232.23,41667,26014,15653
ax,8,high,1500,4,35.3091,1502.61,41667,28885,12782
ax,8,high,1500,5,31.1312,1848.44,41667,25416,16251
ax,8,high,1500,6,31.6904,2328.67,41667,25914,15753
ax,8,high,1500,7,28.6863,1762.76,41667,23444,18223
ax,8,high,1500,8,37.5733,852.116,41667,30426,11241
ac,8,high,1500,1,27.8884,2058.21,41667,22699,18968
ac,8,high,1500,2,37.9168,1048.78,41667,30776,10891
ac,8,high,1500,3,30.3208,1392.27,41667,24796,16871
ac,8,high,1500,4,38.8712,903.766,41667,31758,9909
ac,8,high,1500,5,33.6852,1508.89,41667,27534,14133
ac,8,high,1500,6,30.3359,1819.74,41667,24638,17029
ac,8,high,1500,7,29.2565,2079.29,41667,23617,18050
ac,8,high,1500,8,30.9854,1368.49,41667,25348,16319
ax,16,high,1500,1,10.5008,3567.32,41667,8565,33102
ax,16,high,1500,2,12.2339,3467.5,41667,9834,31833
ax,16,high,1500,3,15.4595,2276.67,41667,12251,29416
ax,16,high,1500,4,12.9914,2648.06,41667,10616,31051
ax,16,high,1500,5,18.0503,2862.52,41667,13826,27841
ax,16,high,1500,6,13.9197,3258.6,41667,11386,30281
ax,16,high,1500,7,14.6917,2090.03,41667,11270,30397
ax,16,high,1500,8,14.5688,3371.67,41667,11704,29963
ax,16,high,1500,9,15.2559,2579.85,41667,12457,29210
ax,16,high,1500,10,16.0127,2405.11,41667,13077,28590
ax,16,high,1500,11,17.6008,3016.3,41667,14395,27272
ax,16,high,1500,12,13.6538,3619.12,41667,11095,30572
ax,16,high,1500,13,13.0167,3576.89,41667,10600,31067
ax,16,high,1500,14,17.9613,3013.64,41667,14635,27032
ax,16,high,1500,15,13.0585,3243.28,41667,10637,31030
ax,16,high,1500,16,20.4489,2177.08,41667,16722,24945
ac,16,high,1500,1,10.8383,3341.76,41667,8823,32844
ac,16,high,1500,2,12.0767,3277.21,41667,9879,31788
ac,16,high,1500,3,17.9013,2822.6,41667,14408,27259
ac,16,high,1500,4,14.0618,2905.4,41667,11473,30194
ac,16,high,1500,5,11.188,3597.47,41667,8985,32682
ac,16,high,1500,6,11.7857,2998.41,41667,9566,32101
ac,16,high,1500,7,18.2785,2522.47,41667,14783,26884
ac,16,high,1500,8,15.0584,2170.96,41667,12055,29612
ac,16,high,1500,9,17.1015,3499.94,41667,13987,27680
ac,16,high,1500,10,10.0771,3572.73,41667,7973,33694
ac,16,high,1500,11,16.2905,2627.47,41667,13216,28451
ac,16,high,1500,12,17.746,2458.85,41667,13893,27774
